Brand,Model,Power_Consumption_kWh,Room_Size_sqft,Warranty_Years,Price,Rating,Ton
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1350,111,1,"₹33,999",4,1.5
Lloyd,Lloyd 1.5 Ton 5 Star Split Inverter AC  ,780,111,1,"₹39,490",4.2,1.5
LG,LG AI Convertible 6,685,111,1,"₹44,490",4.1,1.5
realme,realme TechLife 2023 Range 1.5 Ton 4 Star Split Inverter 4,1350,111,1,"₹29,999",4.1,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹30,499",4,1.5
Whirlpool,Whirlpool Convertible 4,1360,111,1,"₹33,490",3.9,1.5
CARRIER,CARRIER Convertible 6,1260,111,1,"₹40,999",4.1,1.5
realme,realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4,965,90,1,"₹27,499",4.1,1
Panasonic,Panasonic Convertible 7,1002,111,1,"₹36,490",4.3,1.5
Panasonic,Panasonic Convertible 7,774,111,1,"₹44,490",4.3,1.5
Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,1024,111,1,"₹36,999",3.9,1.5
Whirlpool,Whirlpool Convertible 4,840,90,1,"₹32,990",3.9,1
Godrej,Godrej 5,1415,111,1,"₹33,490",4,1.5
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,732,90,1,"₹27,999",4.1,1
Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  ,975,111,1,"₹31,990",4.2,1.5
MarQ,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4,1620,111,1,"₹28,499",4,1.5
LG,LG AI Convertible 6,968,111,1,"₹35,990",4.1,1.5
Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",1002,111,1,"₹35,490",4.2,1.5
Whirlpool,Whirlpool Convertible 4,963,111,1,"₹31,990",3.9,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹30,499",4,1.5
Whirlpool,Whirlpool Convertible 4,1260,111,1,"₹36,990",3.9,1.5
Lloyd,Lloyd 1.5 Ton 5 Star Split Inverter AC  ,780,111,1,"₹39,490",4.2,1.5
Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  ,751,111,1,"₹38,999",4.2,1.5
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1209,151,1,"₹42,999",4,2
LG,LG AI Convertible 6,685,111,1,"₹44,490",4.1,1.5
realme,realme TechLife 2023 Range 1.5 Ton 4 Star Split Inverter 4,1350,111,1,"₹29,999",4.1,1.5
Whirlpool,Whirlpool Convertible 4,1360,111,1,"₹33,490",3.9,1.5
realme,realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4,965,90,1,"₹27,499",4.1,1
Panasonic,Panasonic Convertible 7,1002,111,1,"₹36,490",4.3,1.5
Panasonic,Panasonic Convertible 7,774,111,1,"₹44,490",4.3,1.5
Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,1024,111,1,"₹36,999",3.9,1.5
Whirlpool,Whirlpool Convertible 4,840,90,1,"₹32,990",3.9,1
Godrej,Godrej 5,1415,111,1,"₹33,490",4,1.5
SAMSUNG,SAMSUNG Convertible 5,624,90,1,"₹30,999",4,1
Blue,Blue Star 1.3 Ton 3 Star Split Inverter AC  ,865,111,1,"₹33,490",4.2,1.3
SAMSUNG,SAMSUNG Convertible 5,749,111,1,"₹41,490",4.1,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,732,90,1,"₹27,999",4.1,1
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  ,975,111,1,"₹31,990",4.2,1.5
MarQ,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4,1620,111,1,"₹28,499",4,1.5
Daikin,Daikin 1.5 Ton 3 Star Split Inverter AC  ,967,111,1,"₹36,999",4,1.5
Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",1002,111,1,"₹35,490",4.2,1.5
LG,LG AI Convertible 6,968,111,1,"₹35,990",4.1,1.5
IFB,IFB FastCool Convertible 8,1083,151,1,"₹40,490",4.2,1.6
Whirlpool,Whirlpool Convertible 4,963,111,1,"₹31,990",3.9,1.5
Whirlpool,Whirlpool Convertible 4,1260,111,1,"₹36,990",3.9,1.5
Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  ,751,111,1,"₹38,999",4.2,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1350,111,1,"₹33,999",4,1.5
Lloyd,Lloyd 1.5 Ton 5 Star Split Inverter AC  ,780,111,1,"₹39,490",4.2,1.5
LG,LG AI Convertible 6,685,111,1,"₹44,490",4.1,1.5
realme,realme TechLife 2023 Range 1.5 Ton 4 Star Split Inverter 4,1350,111,1,"₹29,999",4.1,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹30,499",4,1.5
Whirlpool,Whirlpool Convertible 4,1360,111,1,"₹33,490",3.9,1.5
CARRIER,CARRIER Convertible 6,1260,111,1,"₹40,999",4.1,1.5
realme,realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4,965,90,1,"₹27,499",4.1,1
Panasonic,Panasonic Convertible 7,1002,111,1,"₹36,490",4.3,1.5
Panasonic,Panasonic Convertible 7,774,111,1,"₹44,490",4.3,1.5
Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,1024,111,1,"₹36,999",3.9,1.5
Whirlpool,Whirlpool Convertible 4,840,90,1,"₹32,990",3.9,1
Godrej,Godrej 5,1415,111,1,"₹33,490",4,1.5
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,732,90,1,"₹27,999",4.1,1
Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  ,975,111,1,"₹31,990",4.2,1.5
MarQ,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4,1620,111,1,"₹28,499",4,1.5
LG,LG AI Convertible 6,968,111,1,"₹35,990",4.1,1.5
Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",1002,111,1,"₹35,490",4.2,1.5
Whirlpool,Whirlpool Convertible 4,963,111,1,"₹31,990",3.9,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹30,499",4,1.5
Whirlpool,Whirlpool Convertible 4,1260,111,1,"₹36,990",3.9,1.5
Lloyd,Lloyd 1.5 Ton 5 Star Split Inverter AC  ,780,111,1,"₹39,490",4.2,1.5
Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  ,751,111,1,"₹38,999",4.2,1.5
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1209,151,1,"₹42,999",4,2
LG,LG AI Convertible 6,685,111,1,"₹44,490",4.1,1.5
realme,realme TechLife 2023 Range 1.5 Ton 4 Star Split Inverter 4,1350,111,1,"₹29,999",4.1,1.5
Whirlpool,Whirlpool Convertible 4,1360,111,1,"₹33,490",3.9,1.5
realme,realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4,965,90,1,"₹27,499",4.1,1
Panasonic,Panasonic Convertible 7,1002,111,1,"₹36,490",4.3,1.5
Panasonic,Panasonic Convertible 7,774,111,1,"₹44,490",4.3,1.5
Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,1024,111,1,"₹36,999",3.9,1.5
Whirlpool,Whirlpool Convertible 4,840,90,1,"₹32,990",3.9,1
Godrej,Godrej 5,1415,111,1,"₹33,490",4,1.5
SAMSUNG,SAMSUNG Convertible 5,624,90,1,"₹30,999",4,1
Blue,Blue Star 1.3 Ton 3 Star Split Inverter AC  ,865,111,1,"₹33,490",4.2,1.3
SAMSUNG,SAMSUNG Convertible 5,749,111,1,"₹41,490",4.1,1.5
IFB,IFB FastCool Convertible 8,1206,151,1,"₹48,490",4.2,2
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  ,975,111,1,"₹31,990",4.2,1.5
MarQ,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4,1620,111,1,"₹28,499",4,1.5
Daikin,Daikin 1.5 Ton 3 Star Split Inverter AC  ,967,111,1,"₹36,999",4,1.5
Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",1002,111,1,"₹35,490",4.2,1.5
LG,LG AI Convertible 6,968,111,1,"₹35,990",4.1,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1350,111,1,"₹33,999",4,1.5
Whirlpool,Whirlpool Convertible 4,963,111,1,"₹31,990",3.9,1.5
Whirlpool,Whirlpool Convertible 4,1260,111,1,"₹36,990",3.9,1.5
Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  ,751,111,1,"₹38,999",4.2,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹30,499",4,1.5
Lloyd,Lloyd 1.5 Ton 5 Star Split Inverter AC  ,780,111,1,"₹39,490",4.2,1.5
LG,LG AI Convertible 6,685,111,1,"₹44,490",4.1,1.5
realme,realme TechLife 2023 Range 1.5 Ton 4 Star Split Inverter 4,1350,111,1,"₹29,999",4.1,1.5
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1209,151,1,"₹42,999",4,2
Whirlpool,Whirlpool Convertible 4,1360,111,1,"₹33,490",3.9,1.5
CARRIER,CARRIER Convertible 6,1260,111,1,"₹40,999",4.1,1.5
realme,realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4,965,90,1,"₹27,499",4.1,1
Panasonic,Panasonic Convertible 7,1002,111,1,"₹36,490",4.3,1.5
Panasonic,Panasonic Convertible 7,774,111,1,"₹44,490",4.3,1.5
Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,1024,111,1,"₹36,999",3.9,1.5
Whirlpool,Whirlpool Convertible 4,840,90,1,"₹32,990",3.9,1
Godrej,Godrej 5,1415,111,1,"₹33,490",4,1.5
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,732,90,1,"₹27,999",4.1,1
Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  ,975,111,1,"₹31,990",4.2,1.5
MarQ,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4,1620,111,1,"₹28,499",4,1.5
LG,LG AI Convertible 6,968,111,1,"₹35,990",4.1,1.5
Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",1002,111,1,"₹35,490",4.2,1.5
Whirlpool,Whirlpool Convertible 4,963,111,1,"₹31,990",3.9,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1350,111,1,"₹33,999",4,1.5
Whirlpool,Whirlpool Convertible 4,1260,111,1,"₹36,990",3.9,1.5
Lloyd,Lloyd 1.5 Ton 5 Star Split Inverter AC  ,780,111,1,"₹39,490",4.2,1.5
Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  ,751,111,1,"₹38,999",4.2,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹30,499",4,1.5
LG,LG AI Convertible 6,685,111,1,"₹44,490",4.1,1.5
realme,realme TechLife 2023 Range 1.5 Ton 4 Star Split Inverter 4,1350,111,1,"₹29,999",4.1,1.5
Whirlpool,Whirlpool Convertible 4,1360,111,1,"₹33,490",3.9,1.5
realme,realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4,965,90,1,"₹27,499",4.1,1
Panasonic,Panasonic Convertible 7,1002,111,1,"₹36,490",4.3,1.5
Panasonic,Panasonic Convertible 7,774,111,1,"₹44,490",4.3,1.5
Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,1024,111,1,"₹36,999",3.9,1.5
Whirlpool,Whirlpool Convertible 4,840,90,1,"₹32,990",3.9,1
Godrej,Godrej 5,1415,111,1,"₹33,490",4,1.5
SAMSUNG,SAMSUNG Convertible 5,624,90,1,"₹30,999",4,1
Blue,Blue Star 1.3 Ton 3 Star Split Inverter AC  ,865,111,1,"₹33,490",4.2,1.3
SAMSUNG,SAMSUNG Convertible 5,749,111,1,"₹41,490",4.1,1.5
Godrej,Godrej 1.5 Ton 3 Star Split Inverter AC  ,1785,111,1,"₹32,239",,1.5
MarQ,MarQ by Flipkart 2023 Range 0.7 Ton 3 Star Split Inverter 4,880,90,1,"₹25,490",4.1,0.7
Voltas,Voltas 1 Ton 3 Star Window AC  ,815,90,1,"₹26,600",3,1
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
CANDY,CANDY 1 Ton 5 Star Split Inverter AC  ,528,90,1,"₹32,990",4,1
IFB,IFB FastCool Convertible 8,1083,151,1,"₹40,490",4.2,1.6
Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  ,1450,111,1,"₹39,990",4.2,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,732,90,1,"₹27,999",4.1,1
Haier,Haier Frost Self,1680,111,1,"₹38,490",,1.5
Blue,Blue Star 1.5 Ton 3 Star Window Inverter AC  ,1217,111,1,"₹34,399",3.9,1.5
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1209,151,1,"₹42,999",4,2
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1350,111,1,"₹33,999",4,1.5
Panasonic,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi,774,111,1,"₹46,990",4.1,1.5
Haier,Haier 1.2 Ton 3 Star Split Inverter AC  ,823,91,1,"₹32,490",4,1.2
Lloyd,Lloyd 2 Ton 5 Star Split Inverter AC  ,970,151,1,"₹53,999",4.2,2
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹30,499",4,1.5
Midea,"Midea 2023 Model 2 Ton 3 Star Split Inverter HD Filter with 2 Way Air Directional Control, Auto Cleans...",2000,151,1,"₹41,999",3.9,2
SAMSUNG,SAMSUNG 1 Ton 3 Star Split AC  ,920,90,1,"₹30,990",4.1,1
LG,LG AI Convertible 6,521,90,1,"₹43,490",4.2,1
CANDY,CANDY 1.5 Ton 5 Star Split Inverter AC  ,735,111,1,"₹36,990",4,1.5
Panasonic,Panasonic 1 Ton 3 Star Split Inverter AC with Wi,1095,90,1,"₹33,490",4.3,1
SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  ,977,111,1,"₹34,000",,1.5
Blue,Blue Star 1.5 Ton 3 Star Split AC  ,1052,111,1,"₹36,990",,1.5
CARRIER,CARRIER Convertible 6,1500,151,1,"₹54,999",4.1,2
Lloyd,Lloyd 1.5 Ton 3 Star Hot and Cold Split Inverter AC  ,1043,111,1,"₹37,999",4.2,1.5
Panasonic,Panasonic Convertible 7,774,111,1,"₹54,990",4.1,1.5
Hitachi,Hitachi 1.5 Ton 5 Star Window Inverter AC  ,1068,111,1,"₹39,780",,1.5
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Daikin,Daikin 1.5 Ton 5 Star Split Inverter AC  ,1325,111,1,"₹45,590",4.1,1.5
CANDY,CANDY 1 Ton 4 Star Split Inverter AC  ,600,90,1,"₹28,990",4,1
SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  ,977,111,1,"₹37,980",,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,732,90,1,"₹27,999",4.1,1
